Type:          average
Points:        1350
Count:         4
XInc:          1.481481E-012
XOrg:          3.0912800000E-008
YData range:   8.52198E-003
YData center:  2.11200E-003
Coupling:      50 Ohms
XRange:        2.00000E-009
XOffset:       3.0912800000E-008
YRange:        8.16000E-003
YOffset:       2.11200E-003
Date:          03 APR 2011
Time:          17:49:19:31
Frame:         86100C:MY47440989
X Units:       second
Y Units:       Watt
XY Data:
3.0912800E-008, 5.46E-005
3.0914281E-008, 5.62E-005
3.0915763E-008, 4.45E-005
3.0917244E-008, 6.77E-005
3.0918726E-008, 5.95E-005
3.0920207E-008, 6.17E-005
3.0921689E-008, 6.76E-005
3.0923170E-008, 4.95E-005
3.0924652E-008, 6.97E-005
3.0926133E-008, 6.79E-005
3.0927615E-008, 5.52E-005
3.0929096E-008, 5.58E-005
3.0930578E-008, 4.89E-005
3.0932059E-008, 6.09E-005
3.0933541E-008, 8.18E-005
3.0935022E-008, 4.19E-005
3.0936504E-008, 5.94E-005
3.0937985E-008, 5.32E-005
3.0939467E-008, 7.43E-005
3.0940948E-008, 4.53E-005
3.0942430E-008, 8.13E-005
3.0943911E-008, 6.73E-005
3.0945393E-008, 3.74E-005
3.0946874E-008, 8.08E-005
3.0948356E-008, 8.80E-005
3.0949837E-008, 7.50E-005
3.0951319E-008, 5.59E-005
3.0952800E-008, 6.19E-005
3.0954281E-008, 6.67E-005
3.0955763E-008, 8.77E-005
3.0957244E-008, 7.79E-005
3.0958726E-008, 7.87E-005
3.0960207E-008, 5.71E-005
3.0961689E-008, 6.22E-005
3.0963170E-008, 4.76E-005
3.0964652E-008, 9.54E-005
3.0966133E-008, 7.69E-005
3.0967615E-008, 7.04E-005
3.0969096E-008, 7.62E-005
3.0970578E-008, 8.71E-005
3.0972059E-008, 7.23E-005
3.0973541E-008, 5.11E-005
3.0975022E-008, 8.26E-005
3.0976504E-008, 7.34E-005
3.0977985E-008, 7.94E-005
3.0979467E-008, 6.28E-005
3.0980948E-008, 7.54E-005
3.0982430E-008, 9.58E-005
3.0983911E-008, 8.76E-005
3.0985393E-008, 8.50E-005
3.0986874E-008, 5.83E-005
3.0988356E-008, 2.88E-005
3.0989837E-008, 8.37E-005
3.0991319E-008, 7.11E-005
3.0992800E-008, 7.24E-005
3.0994281E-008, 7.12E-005
3.0995763E-008, 7.16E-005
3.0997244E-008, 6.01E-005
3.0998726E-008, 5.35E-005
3.1000207E-008, 6.96E-005
3.1001689E-008, 8.96E-005
3.1003170E-008, 7.69E-005
3.1004652E-008, 8.32E-005
3.1006133E-008, 6.02E-005
3.1007615E-008, 7.46E-005
3.1009096E-008, 5.94E-005
3.1010578E-008, 6.49E-005
3.1012059E-008, 6.81E-005
3.1013541E-008, 7.15E-005
3.1015022E-008, 6.50E-005
3.1016504E-008, 6.97E-005
3.1017985E-008, 6.13E-005
3.1019467E-008, 6.24E-005
3.1020948E-008, 8.81E-005
3.1022430E-008, 5.63E-005
3.1023911E-008, 6.72E-005
3.1025393E-008, 5.74E-005
3.1026874E-008, 8.95E-005
3.1028356E-008, 5.54E-005
3.1029837E-008, 5.77E-005
3.1031319E-008, 5.00E-005
3.1032800E-008, 7.99E-005
3.1034281E-008, 6.24E-005
3.1035763E-008, 9.28E-005
3.1037244E-008, 8.42E-005
3.1038726E-008, 5.77E-005
3.1040207E-008, 5.35E-005
3.1041689E-008, 1.002E-004
3.1043170E-008, 8.84E-005
3.1044652E-008, 7.08E-005
