Type:          average
Points:        1350
Count:         16
XInc:          1.481481E-012
XOrg:          3.1000800000E-008
YData range:   2.68998E-003
YData center:  5.70000E-004
Coupling:      50 Ohms
XRange:        2.00000E-009
XOffset:       3.1000800000E-008
YRange:        2.32800E-003
YOffset:       5.70000E-004
Date:          03 APR 2011
Time:          16:47:18:70
Frame:         86100C:MY47440989
X Units:       second
Y Units:       Watt
XY Data:
3.1000800E-008, 6.2196E-005
3.1002281E-008, 6.2535E-005
3.1003763E-008, 4.7105E-005
3.1005244E-008, 5.6558E-005
3.1006726E-008, 6.7749E-005
3.1008207E-008, 5.6939E-005
3.1009689E-008, 6.2196E-005
3.1011170E-008, 5.8804E-005
3.1012652E-008, 6.2026E-005
3.1014133E-008, 6.8554E-005
3.1015615E-008, 5.6812E-005
3.1017096E-008, 6.5460E-005
3.1018578E-008, 5.7490E-005
3.1020059E-008, 6.4612E-005
3.1021541E-008, 5.6091E-005
3.1023022E-008, 6.6816E-005
3.1024504E-008, 5.9144E-005
3.1025985E-008, 6.0500E-005
3.1027467E-008, 5.5922E-005
3.1028948E-008, 4.6893E-005
3.1030430E-008, 6.7410E-005
3.1031911E-008, 7.4956E-005
3.1033393E-008, 8.4112E-005
3.1034874E-008, 5.8508E-005
3.1036356E-008, 6.2323E-005
3.1037837E-008, 6.5502E-005
3.1039319E-008, 6.4103E-005
3.1040800E-008, 6.2832E-005
3.1042281E-008, 6.3891E-005
3.1043763E-008, 6.6647E-005
3.1045244E-008, 5.9610E-005
3.1046726E-008, 7.2031E-005
3.1048207E-008, 7.1564E-005
3.1049689E-008, 6.4188E-005
3.1051170E-008, 6.9657E-005
3.1052652E-008, 6.3044E-005
3.1054133E-008, 7.3429E-005
3.1055615E-008, 6.1433E-005
3.1057096E-008, 7.3726E-005
3.1058578E-008, 7.2921E-005
3.1060059E-008, 6.3849E-005
3.1061541E-008, 6.7707E-005
3.1063022E-008, 6.4824E-005
3.1064504E-008, 6.7028E-005
3.1065985E-008, 6.5884E-005
3.1067467E-008, 5.8126E-005
3.1068948E-008, 6.5460E-005
3.1070430E-008, 6.4146E-005
3.1071911E-008, 6.0373E-005
