Type:          average
Points:        1350
Count:         16
XInc:          1.481481E-012
XOrg:          3.0940800000E-008
YData range:   2.68998E-003
YData center:  5.70000E-004
Coupling:      50 Ohms
XRange:        2.00000E-009
XOffset:       3.0940800000E-008
YRange:        2.32800E-003
YOffset:       5.70000E-004
Date:          03 APR 2011
Time:          16:22:15:12
Frame:         86100C:MY47440989
X Units:       second
Y Units:       Watt
XY Data:
3.0940800E-008, -4.4588E-005
3.0942281E-008, -4.3104E-005
3.0943763E-008, -5.7856E-005
3.0945244E-008, -4.9759E-005
3.0946726E-008, -4.6750E-005
3.0948207E-008, -4.2256E-005
3.0949689E-008, -4.1578E-005
3.0951170E-008, -4.4800E-005
3.0952652E-008, -3.3439E-005
3.0954133E-008, -4.3825E-005
3.0955615E-008, -4.3825E-005
3.0957096E-008, -3.9458E-005
3.0958578E-008, -3.8568E-005
3.0960059E-008, -4.1493E-005
3.0961541E-008, -4.5478E-005
3.0963022E-008, -4.9420E-005
3.0964504E-008, -3.0853E-005
3.0965985E-008, -3.8059E-005
3.0967467E-008, -3.0726E-005
3.0968948E-008, -4.6453E-005
3.0970430E-008, -4.7513E-005
3.0971911E-008, -4.5817E-005
3.0973393E-008, -4.3697E-005
3.0974874E-008, -4.5563E-005
3.0976356E-008, -5.7729E-005
3.0977837E-008, -3.5770E-005
3.0979319E-008, -2.6487E-005
3.0980800E-008, -3.5728E-005
3.0982281E-008, -4.3740E-005
3.0983763E-008, -5.3956E-005
3.0985244E-008, -3.5643E-005
3.0986726E-008, -4.2510E-005
3.0988207E-008, -3.8780E-005
3.0989689E-008, -4.2722E-005
3.0991170E-008, -4.1959E-005
3.0992652E-008, -4.8488E-005
3.0994133E-008, -2.9836E-005
3.0995615E-008, -4.1408E-005
3.0997096E-008, -4.7725E-005
3.0998578E-008, -4.8106E-005
3.1000059E-008, -3.5050E-005
3.1001541E-008, -4.1027E-005
3.1003022E-008, -3.9204E-005
3.1004504E-008, -3.0259E-005
3.1005985E-008, -4.1620E-005
3.1007467E-008, -3.7805E-005
3.1008948E-008, -3.5092E-005
3.1010430E-008, -2.9072E-005
3.1011911E-008, -4.2214E-005
