Type:          average
Points:        1350
Count:         16
XInc:          1.481481E-012
XOrg:          3.1144800000E-008
YData range:   2.68998E-003
YData center:  5.70000E-004
Coupling:      50 Ohms
XRange:        2.00000E-009
XOffset:       3.1144800000E-008
YRange:        2.32800E-003
YOffset:       5.70000E-004
Date:          03 APR 2011
Time:          16:24:51:74
Frame:         86100C:MY47440989
X Units:       second
Y Units:       Watt
XY Data:
3.1144800E-008, -1.4320E-005
3.1146281E-008, -1.19E-007
3.1147763E-008, 3.950E-006
3.1149244E-008, 8.232E-006
3.1150726E-008, 6.833E-006
3.1152207E-008, 7.850E-006
3.1153689E-008, 1.6668E-005
3.1155170E-008, 1.8618E-005
3.1156652E-008, 1.0818E-005
3.1158133E-008, 1.8067E-005
3.1159615E-008, 2.3620E-005
3.1161096E-008, 2.1246E-005
3.1162578E-008, 2.2984E-005
3.1164059E-008, 3.8626E-005
3.1165541E-008, 2.9682E-005
3.1167022E-008, 4.0788E-005
3.1168504E-008, 2.1415E-005
3.1169985E-008, 3.1420E-005
3.1171467E-008, 5.3294E-005
3.1172948E-008, 4.4561E-005
3.1174430E-008, 5.3421E-005
3.1175911E-008, 5.6939E-005
3.1177393E-008, 4.5536E-005
3.1178874E-008, 5.1683E-005
3.1180356E-008, 9.5982E-005
3.1181837E-008, 8.1357E-005
3.1183319E-008, 8.0890E-005
3.1184800E-008, 1.00475E-004
3.1186281E-008, 6.2662E-005
3.1187763E-008, 1.11242E-004
3.1189244E-008, 7.6354E-005
3.1190726E-008, 1.15439E-004
3.1192207E-008, 8.9411E-005
3.1193689E-008, 1.05732E-004
3.1195170E-008, 1.04672E-004
3.1196652E-008, 1.06834E-004
3.1198133E-008, 1.32396E-004
3.1199615E-008, 1.12641E-004
3.1201096E-008, 8.4748E-005
3.1202578E-008, 1.18067E-004
3.1204059E-008, 1.39305E-004
3.1205541E-008, 1.30234E-004
3.1207022E-008, 1.11582E-004
3.1208504E-008, 1.33116E-004
3.1209985E-008, 1.51768E-004
3.1211467E-008, 1.44223E-004
3.1212948E-008, 1.26376E-004
3.1214430E-008, 1.57110E-004
3.1215911E-008, 1.51726E-004
3.1217393E-008, 1.66860E-004
