Type:          average
Points:        1350
Count:         32
XInc:          1.481481E-012
XOrg:          3.1056800000E-008
YData range:   1.96198E-003
YData center:  4.72000E-004
Coupling:      50 Ohms
XRange:        2.00000E-009
XOffset:       3.1056800000E-008
YRange:        1.60000E-003
YOffset:       4.72000E-004
Date:          03 APR 2011
Time:          17:41:23:04
Frame:         86100C:MY47440989
X Units:       second
Y Units:       Watt
XY Data:
3.1056800E-008, 3.29248E-004
3.1058281E-008, 4.01753E-004
3.1059763E-008, 3.39606E-004
3.1061244E-008, 3.65609E-004
3.1062726E-008, 4.56170E-004
3.1064207E-008, 3.93528E-004
3.1065689E-008, 3.91333E-004
3.1067170E-008, 3.57755E-004
3.1068652E-008, 3.99619E-004
3.1070133E-008, 4.83811E-004
3.1071615E-008, 3.65702E-004
3.1073096E-008, 4.10596E-004
3.1074578E-008, 4.79080E-004
3.1076059E-008, 4.22901E-004
3.1077541E-008, 4.42504E-004
3.1079022E-008, 3.91055E-004
3.1080504E-008, 4.65322E-004
3.1081985E-008, 4.56139E-004
3.1083467E-008, 4.68444E-004
3.1084948E-008, 4.89067E-004
3.1086430E-008, 3.96713E-004
3.1087911E-008, 3.78409E-004
3.1089393E-008, 4.58179E-004
3.1090874E-008, 4.15944E-004
3.1092356E-008, 4.85017E-004
3.1093837E-008, 5.18873E-004
3.1095319E-008, 4.88109E-004
3.1096800E-008, 4.27539E-004
3.1098281E-008, 4.10874E-004
3.1099763E-008, 3.64805E-004
3.1101244E-008, 4.86594E-004
3.1102726E-008, 3.90220E-004
3.1104207E-008, 4.61550E-004
3.1105689E-008, 4.30847E-004
3.1107170E-008, 3.71669E-004
3.1108652E-008, 4.46523E-004
3.1110133E-008, 4.20088E-004
3.1111615E-008, 4.30631E-004
3.1113096E-008, 3.76121E-004
3.1114578E-008, 4.22004E-004
3.1116059E-008, 4.98683E-004
3.1117541E-008, 3.60785E-004
3.1119022E-008, 4.24602E-004
3.1120504E-008, 3.89694E-004
3.1121985E-008, 3.95291E-004
3.1123467E-008, 4.15388E-004
3.1124948E-008, 3.71174E-004
3.1126430E-008, 3.26002E-004
3.1127911E-008, 3.82243E-004
3.1129393E-008, 3.59116E-004
3.1130874E-008, 3.44893E-004
3.1132356E-008, 3.60569E-004
3.1133837E-008, 3.24920E-004
3.1135319E-008, 3.38586E-004
3.1136800E-008, 3.63506E-004
3.1138281E-008, 3.81748E-004
3.1139763E-008, 3.28475E-004
3.1141244E-008, 3.12769E-004
3.1142726E-008, 2.91744E-004
3.1144207E-008, 3.18860E-004
3.1145689E-008, 2.92703E-004
3.1147170E-008, 2.91991E-004
3.1148652E-008, 2.93723E-004
3.1150133E-008, 2.91744E-004
3.1151615E-008, 2.94650E-004
3.1153096E-008, 2.75141E-004
3.1154578E-008, 2.43294E-004
3.1156059E-008, 2.56064E-004
3.1157541E-008, 2.23383E-004
3.1159022E-008, 2.24001E-004
3.1160504E-008, 2.54673E-004
3.1161985E-008, 1.86219E-004
3.1163467E-008, 2.30741E-004
3.1164948E-008, 1.88012E-004
3.1166430E-008, 1.73016E-004
3.1167911E-008, 2.36802E-004
3.1169393E-008, 1.48591E-004
3.1170874E-008, 1.56846E-004
3.1172356E-008, 1.44695E-004
3.1173837E-008, 1.28370E-004
3.1175319E-008, 1.49023E-004
3.1176800E-008, 1.52672E-004
3.1178281E-008, 1.34461E-004
3.1179763E-008, 1.25278E-004
3.1181244E-008, 1.15600E-004
3.1182726E-008, 1.25494E-004
3.1184207E-008, 9.4576E-005
3.1185689E-008, 9.9615E-005
3.1187170E-008, 7.6148E-005
3.1188652E-008, 6.0503E-005
3.1190133E-008, 7.0552E-005
3.1191615E-008, 8.1930E-005
3.1193096E-008, 4.9558E-005
3.1194578E-008, 5.4814E-005
3.1196059E-008, 5.0300E-005
3.1197541E-008, 5.3052E-005
3.1199022E-008, 4.4333E-005
3.1200504E-008, 3.9973E-005
3.1201985E-008, 3.8582E-005
3.1203467E-008, 3.3542E-005
3.1204948E-008, 3.0512E-005
3.1206430E-008, 2.2721E-005
3.1207911E-008, 3.9386E-005
3.1209393E-008, 2.1546E-005
3.1210874E-008, 1.8052E-005
3.1212356E-008, 1.3569E-005
3.1213837E-008, 1.3507E-005
3.1215319E-008, 1.4558E-005
3.1216800E-008, 1.2981E-005
3.1218281E-008, 5.499E-006
3.1219763E-008, 1.6259E-005
3.1221244E-008, 2.0835E-005
3.1222726E-008, 6.024E-006
3.1224207E-008, 6.117E-006
3.1225689E-008, 7.261E-006
3.1227170E-008, 4.355E-006
3.1228652E-008, 1.2239E-005
3.1230133E-008, 6.612E-006
3.1231615E-008, 1.6289E-005
3.1233096E-008, 1.8670E-005
3.1234578E-008, 5.684E-006
3.1236059E-008, 1.9876E-005
3.1237541E-008, 2.1144E-005
3.1239022E-008, 1.4218E-005
3.1240504E-008, 2.5163E-005
3.1241985E-008, 2.4947E-005
3.1243467E-008, 3.4099E-005
3.1244948E-008, 2.5534E-005
3.1246430E-008, 4.4642E-005
3.1247911E-008, 3.5923E-005
3.1249393E-008, 4.1643E-005
3.1250874E-008, 5.4134E-005
3.1252356E-008, 5.3979E-005
3.1253837E-008, 4.2570E-005
3.1255319E-008, 6.3471E-005
3.1256800E-008, 5.7999E-005
3.1258281E-008, 6.3039E-005
3.1259763E-008, 6.8171E-005
3.1261244E-008, 7.5406E-005
3.1262726E-008, 8.2301E-005
3.1264207E-008, 8.5702E-005
3.1265689E-008, 7.9827E-005
3.1267170E-008, 8.6166E-005
3.1268652E-008, 1.02058E-004
3.1270133E-008, 1.11086E-004
3.1271615E-008, 1.13869E-004
3.1273096E-008, 1.06974E-004
3.1274578E-008, 1.21908E-004
3.1276059E-008, 1.29421E-004
3.1277541E-008, 1.15693E-004
3.1279022E-008, 1.10004E-004
3.1280504E-008, 1.28586E-004
3.1281985E-008, 1.27566E-004
3.1283467E-008, 1.57650E-004
3.1284948E-008, 1.53507E-004
3.1286430E-008, 1.57093E-004
3.1287911E-008, 1.68564E-004
3.1289393E-008, 1.55702E-004
3.1290874E-008, 1.78180E-004
3.1292356E-008, 1.63772E-004
3.1293837E-008, 1.66121E-004
3.1295319E-008, 1.82137E-004
3.1296800E-008, 2.05048E-004
3.1298281E-008, 2.07089E-004
3.1299763E-008, 1.88970E-004
3.1301244E-008, 1.91104E-004
3.1302726E-008, 2.39151E-004
3.1304207E-008, 2.07707E-004
3.1305689E-008, 2.07243E-004
3.1307170E-008, 2.35688E-004
3.1308652E-008, 2.34483E-004
3.1310133E-008, 2.20198E-004
3.1311615E-008, 2.73966E-004
3.1313096E-008, 2.61320E-004
3.1314578E-008, 2.63299E-004
3.1316059E-008, 3.03617E-004
3.1317541E-008, 2.58537E-004
3.1319022E-008, 2.70874E-004
3.1320504E-008, 2.88590E-004
3.1321985E-008, 2.57362E-004
3.1323467E-008, 2.65432E-004
3.1324948E-008, 2.60362E-004
3.1326430E-008, 3.14902E-004
3.1327911E-008, 2.90507E-004
3.1329393E-008, 2.92641E-004
3.1330874E-008, 3.18303E-004
3.1332356E-008, 3.55437E-004
3.1333837E-008, 3.23961E-004
3.1335319E-008, 3.21519E-004
3.1336800E-008, 3.21704E-004
3.1338281E-008, 3.20313E-004
3.1339763E-008, 3.18643E-004
3.1341244E-008, 2.99721E-004
3.1342726E-008, 3.43780E-004
3.1344207E-008, 3.14840E-004
3.1345689E-008, 3.38586E-004
3.1347170E-008, 3.01793E-004
